,subject,trial,leftrating,rightrating,rt,choice,correct
165,11,74,2,1,1877,0,0
166,11,75,4,10,941,0,1
167,11,76,8,8,1456,1,0
168,11,77,0,6,2263,1,0
169,11,78,9,10,743,1,0
170,11,79,8,5,998,1,1
171,11,80,2,9,878,0,1
172,11,81,2,1,1639,1,1
173,11,82,9,6,1535,1,1
174,11,83,2,8,1204,0,1
175,11,84,10,5,1103,0,0
176,11,86,10,7,896,1,1
177,11,87,8,2,1008,1,1
178,11,88,3,10,875,0,1
179,11,89,0,0,1477,1,0
180,11,90,8,7,944,0,0
181,11,91,8,4,1690,1,1
182,11,92,6,10,667,0,1
183,11,93,4,5,1015,0,1
184,11,94,8,1,812,1,1
185,11,95,8,9,1113,0,1
186,11,96,1,1,1401,0,0
187,11,97,4,2,1332,0,0
188,11,98,10,6,728,1,1
189,11,99,10,8,1106,1,1
190,11,100,3,1,1561,0,0
191,13,1,1,2,3848,0,1
192,13,2,2,0,2885,1,1
193,13,3,2,3,6540,1,0
194,13,4,1,0,2175,1,1
195,13,5,2,2,12619,0,0
196,13,6,4,1,4507,1,1
197,13,7,0,0,8347,0,0
198,13,8,1,3,4549,0,1
199,13,9,3,2,3514,1,1
200,13,10,0,2,2127,0,1
201,13,11,1,4,2383,0,1
202,13,12,4,2,9526,1,1
203,13,13,1,3,2193,0,1
204,13,14,2,0,5808,1,1
205,13,15,3,0,4362,1,1
206,13,16,5,2,4429,1,1
207,13,17,2,3,1713,0,1
208,13,18,2,1,9120,0,0
209,13,19,2,4,2621,0,1
210,13,20,2,0,3390,1,1
211,13,21,5,0,7396,1,1
212,13,22,2,3,3426,0,1
213,13,23,3,2,10055,0,0
214,13,24,3,0,4690,1,1
215,13,25,4,3,5192,1,1
216,13,26,4,1,3098,1,1
217,13,27,1,3,3072,0,1
218,13,28,3,0,8430,1,1
219,13,29,1,5,2831,0,1
220,13,30,0,0,8306,0,0
221,13,31,3,1,4834,1,1
222,13,32,2,1,5998,0,0
223,13,33,4,4,15825,0,0
224,13,34,1,4,5164,1,0
225,13,35,1,2,12014,0,1
226,13,36,0,0,5284,1,0
227,13,37,2,0,7170,1,1
228,13,38,4,3,10207,1,1
229,13,39,2,2,5170,0,0
230,13,40,2,0,3539,1,1
231,13,41,0,1,2265,1,0
232,13,42,6,2,5702,1,1
233,13,43,4,1,5594,1,1
234,13,44,2,2,3327,0,0
235,13,45,3,2,3654,1,1
236,13,46,1,0,5344,1,1
237,13,47,2,2,9517,0,0
238,13,48,1,3,1832,0,1
239,13,49,1,2,4326,0,1
240,13,50,5,3,12079,1,1
241,13,51,0,1,5578,0,1
242,13,52,2,4,1590,0,1
243,13,53,2,1,2614,0,0
244,13,54,2,5,2150,0,1
245,13,55,1,1,2359,0,0
246,13,56,2,2,5442,0,0
247,13,57,5,4,11225,1,1
248,13,58,1,0,2108,1,1
249,13,59,2,3,2174,1,0
250,13,60,4,0,1882,1,1
251,13,61,1,3,9030,0,1
252,13,62,0,0,943,1,0
253,13,63,3,2,6752,1,1
254,13,64,2,0,2355,1,1
255,13,65,4,2,8135,1,1
256,13,66,2,0,1917,0,0
257,13,67,4,5,9664,0,1
258,13,68,2,0,2398,1,1
259,13,69,0,4,1287,0,1
260,13,70,0,3,1596,0,1
261,13,71,3,0,1887,1,1
262,13,72,2,0,2173,0,0
263,13,73,2,4,1504,0,1
264,13,74,1,3,2103,0,1
265,13,75,2,1,2648,1,1
266,13,76,5,6,3629,1,0
267,13,77,2,0,3659,1,1
268,13,78,1,1,3903,1,0
269,13,79,0,2,1677,1,0
270,13,80,1,4,1024,0,1
271,13,81,2,1,2237,1,1
272,13,82,4,0,5201,0,0
273,13,83,5,0,1435,1,1
274,13,84,2,3,8584,0,1
275,13,85,0,1,2135,1,0
276,13,86,4,2,2029,1,1
277,13,87,3,2,3619,1,1
278,13,88,1,0,1823,1,1
279,13,89,1,0,7245,1,1
280,13,90,5,1,2863,1,1
281,13,91,0,1,1676,0,1
282,13,92,4,3,2210,1,1
283,13,93,2,3,1988,0,1
284,13,94,2,0,1683,1,1
285,13,95,2,1,1702,1,1
286,13,96,5,6,1498,0,1
287,13,97,0,4,2328,0,1
288,13,98,2,1,5841,1,1
289,13,99,3,0,2172,1,1
290,13,100,0,2,2046,1,0
291,14,1,2,0,2234,1,1
292,14,2,2,4,2158,0,1
293,14,3,1,5,1653,1,0
294,14,4,5,1,1243,1,1
295,14,5,6,2,1638,1,1
296,14,6,4,2,2355,1,1
297,14,7,2,4,2454,0,1
298,14,8,0,1,2968,1,0
299,14,9,0,2,1766,1,0
300,14,10,2,0,4742,1,1
